Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Low', 'Medium')",18,Relax,924570909.456345,0.0,0.10049891471862793
"('Medium', 'Low', 'Medium')",18,Heur,907242994.2825838,-1.8741575142084104,0.003055095672607422
"('Medium', 'Low', 'Medium')",19,Relax,884244396.8074349,0.0,0.10081624984741211
"('Medium', 'Low', 'Medium')",19,Heur,867406431.9858372,-1.904220697625134,0.0024590492248535156
"('Medium', 'Low', 'Medium')",20,Relax,960476640.3216869,0.0,0.0942840576171875
"('Medium', 'Low', 'Medium')",20,Heur,941887230.7608353,-1.9354358846900774,0.0023949146270751953
"('Medium', 'Low', 'Medium')",21,Relax,1035887119.0693084,0.0,0.09526181221008301
"('Medium', 'Low', 'Medium')",21,Heur,1015887885.814422,-1.9306382796664832,0.0030531883239746094
"('Medium', 'Low', 'Medium')",22,Relax,887733515.4028751,0.0,0.09344100952148438
"('Medium', 'Low', 'Medium')",22,Heur,870735996.5080457,-1.914709605969479,0.0026590824127197266
"('Medium', 'Low', 'Medium')",23,Relax,958678185.7302561,0.0,0.0993201732635498
"('Medium', 'Low', 'Medium')",23,Heur,940151555.5883572,-1.9325181711302357,0.003072977066040039
"('Medium', 'Low', 'Medium')",24,Relax,926529858.607294,0.0,0.09731674194335938
"('Medium', 'Low', 'Medium')",24,Heur,908838436.9769986,-1.9094281167460827,0.00244140625
"('Medium', 'Low', 'Medium')",25,Relax,903325114.6761056,0.0,0.09696507453918457
"('Medium', 'Low', 'Medium')",25,Heur,886086452.6372302,-1.908356333594967,0.0027348995208740234
"('Medium', 'Low', 'Medium')",26,Relax,1023885425.0342355,0.0,0.10491013526916504
"('Medium', 'Low', 'Medium')",26,Heur,1004306070.3846142,-1.9122603145724608,0.0026628971099853516
"('Medium', 'Low', 'Medium')",27,Relax,933007616.20334,0.0,0.10099387168884277
"('Medium', 'Low', 'Medium')",27,Heur,915382054.9519496,-1.8891122586023066,0.0029621124267578125
"('Medium', 'Low', 'Medium')",28,Relax,1051210772.0106379,0.0,0.10185718536376953
"('Medium', 'Low', 'Medium')",28,Heur,1030912247.9418362,-1.9309661401183045,0.002496004104614258
"('Medium', 'Low', 'Medium')",29,Relax,1054064136.8759701,0.0,0.09787797927856445
"('Medium', 'Low', 'Medium')",29,Heur,1033836172.298137,-1.9190449489899841,0.002506256103515625
"('Medium', 'Low', 'Medium')",30,Relax,957473736.1537497,0.0,0.09422683715820312
"('Medium', 'Low', 'Medium')",30,Heur,939172523.7336686,-1.911406206670337,0.00244903564453125
"('Medium', 'High', 'Medium')",1,Relax,884658687.9092555,0.0,0.09641599655151367
"('Medium', 'High', 'Medium')",1,Heur,873178994.4592863,-1.2976409554174535,0.002502918243408203
"('Medium', 'High', 'Medium')",2,Relax,905849201.0218216,0.0,0.0977029800415039
"('Medium', 'High', 'Medium')",2,Heur,892452822.4947039,-1.4788751275605547,0.00267791748046875
"('Medium', 'High', 'Medium')",3,Relax,891485630.2331191,0.0,0.1057732105255127
"('Medium', 'High', 'Medium')",3,Heur,876769194.50023,-1.6507765502670975,0.0026268959045410156
"('Medium', 'High', 'Medium')",4,Relax,1011306521.8041317,0.0,0.10589790344238281
"('Medium', 'High', 'Medium')",4,Heur,993127035.0950361,-1.7976237982391428,0.002274036407470703
"('Medium', 'High', 'Medium')",5,Relax,857462585.3445822,0.0,0.11563229560852051
"('Medium', 'High', 'Medium')",5,Heur,843874920.4346572,-1.5846364776912814,0.0032491683959960938
"('Medium', 'High', 'Medium')",6,Relax,925180682.3050065,0.0,0.09850883483886719
"('Medium', 'High', 'Medium')",6,Heur,911728107.143801,-1.4540484273503873,0.0026388168334960938
"('Medium', 'High', 'Medium')",7,Relax,1019859079.8486733,0.0,0.10174989700317383
"('Medium', 'High', 'Medium')",7,Heur,1003823328.3716104,-1.572349728890223,0.002652883529663086
"('Medium', 'High', 'Medium')",8,Relax,1042816887.004188,0.0,0.09738802909851074
"('Medium', 'High', 'Medium')",8,Heur,1024512141.1811911,-1.7553173573533956,0.0023949146270751953
"('Medium', 'High', 'Medium')",9,Relax,973502628.4887048,0.0,0.09584784507751465
"('Medium', 'High', 'Medium')",9,Heur,959265614.6159486,-1.4624525354244002,0.0032320022583007812
"('Medium', 'High', 'Medium')",10,Relax,928808321.6775001,0.0,0.09411787986755371
"('Medium', 'High', 'Medium')",10,Heur,914533120.6002355,-1.5369372500326595,0.0025229454040527344
"('Medium', 'High', 'Medium')",11,Relax,1039845102.6695687,0.0,0.13239693641662598
"('Medium', 'High', 'Medium')",11,Heur,1020859539.9575603,-1.8258068113478816,0.010927200317382812
"('Medium', 'High', 'Medium')",12,Relax,959857976.8207419,0.0,0.0978250503540039
"('Medium', 'High', 'Medium')",12,Heur,943199895.9412427,-1.7354735056403219,0.0024061203002929688
"('Medium', 'High', 'Medium')",13,Relax,934476233.1067219,0.0,0.09550166130065918
"('Medium', 'High', 'Medium')",13,Heur,921297911.8485042,-1.4102361078147037,0.0028510093688964844
"('Medium', 'High', 'Medium')",14,Relax,1055180119.2300643,0.0,0.09255480766296387
"('Medium', 'High', 'Medium')",14,Heur,1036485113.4649704,-1.7717359742083798,0.002386331558227539
"('Medium', 'High', 'Medium')",15,Relax,1003471785.388243,0.0,0.09808182716369629
"('Medium', 'High', 'Medium')",15,Heur,988311105.5559508,-1.5108227309476905,0.002341032028198242
"('Medium', 'High', 'Medium')",16,Relax,907171066.2502472,0.0,0.0984649658203125
"('Medium', 'High', 'Medium')",16,Heur,894320341.8296081,-1.4165712398387083,0.002565145492553711
"('Medium', 'High', 'Medium')",17,Relax,967246902.4698902,0.0,0.10215401649475098
"('Medium', 'High', 'Medium')",17,Heur,952772177.0178595,-1.4964871342641872,0.002618074417114258
"('Medium', 'High', 'Medium')",18,Relax,926204412.5354877,0.0,0.09397506713867188
"('Medium', 'High', 'Medium')",18,Heur,910453403.4282156,-1.7005975024620743,0.0026481151580810547
"('Medium', 'High', 'Medium')",19,Relax,885919878.6870677,0.0,0.09910106658935547
"('Medium', 'High', 'Medium')",19,Heur,870162373.2130558,-1.7786603340885072,0.002370119094848633
"('Medium', 'High', 'Medium')",20,Relax,962207654.4639499,0.0,0.09217309951782227
"('Medium', 'High', 'Medium')",20,Heur,944637449.3211739,-1.8260304894959964,0.0023398399353027344
"('Medium', 'High', 'Medium')",21,Relax,1037820765.7666694,0.0,0.09170198440551758
"('Medium', 'High', 'Medium')",21,Heur,1020105566.7887414,-1.706961313771872,0.002496957778930664
"('Medium', 'High', 'Medium')",22,Relax,889534863.530555,0.0,0.10213184356689453
"('Medium', 'High', 'Medium')",22,Heur,874824674.3048993,-1.6536945125760534,0.0024650096893310547
"('Medium', 'High', 'Medium')",23,Relax,960551431.8578238,0.0,0.09997892379760742
"('Medium', 'High', 'Medium')",23,Heur,945676368.4272711,-1.5485962476556336,0.0026488304138183594
"('Medium', 'High', 'Medium')",24,Relax,928348688.5225196,0.0,0.09948110580444336
"('Medium', 'High', 'Medium')",24,Heur,915770792.1372539,-1.3548676850380015,0.0025773048400878906
