Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Small', 'Medium', 'Medium')",10,Heur,17320101.442216504,0.047375070667739584,0.00045180320739746094
"('Small', 'Medium', 'Medium')",10,Naive,17433998.398957003,0.7052864338569619,0.000347137451171875
"('Small', 'Medium', 'Medium')",11,Relax,16494230.740725111,0.0,0.013016939163208008
"('Small', 'Medium', 'Medium')",11,Heur,16501125.030741725,0.04179819068246415,0.0004620552062988281
"('Small', 'Medium', 'Medium')",11,Naive,16612699.01463958,0.71824067321894,0.0003020763397216797
"('Small', 'Medium', 'Medium')",12,Relax,16546143.807871668,0.0,0.030039072036743164
"('Small', 'Medium', 'Medium')",12,Heur,16556291.64135697,0.06133050457638263,0.0004451274871826172
"('Small', 'Medium', 'Medium')",12,Naive,16686331.605592122,0.8472535918233808,0.00016999244689941406
"('Small', 'Medium', 'Medium')",13,Relax,14012528.59513531,0.0,0.08796286582946777
"('Small', 'Medium', 'Medium')",13,Heur,14020789.757213853,0.058955541267624166,0.0003409385681152344
"('Small', 'Medium', 'Medium')",13,Naive,14127868.144495375,0.8231173165998525,0.0003662109375
"('Small', 'Medium', 'Medium')",14,Relax,20876001.962882314,0.0,0.012980937957763672
"('Small', 'Medium', 'Medium')",14,Heur,20879782.090268914,0.018107525537317315,0.0003490447998046875
"('Small', 'Medium', 'Medium')",14,Naive,20989420.90769074,0.5432982091594308,0.00016021728515625
"('Small', 'Medium', 'Medium')",15,Relax,23942575.30476612,0.0,0.011879920959472656
"('Small', 'Medium', 'Medium')",15,Heur,23947590.448106207,0.020946549300776718,0.0003681182861328125
"('Small', 'Medium', 'Medium')",15,Naive,24054750.82325424,0.4685190171075294,0.0002741813659667969
"('Small', 'Medium', 'Medium')",16,Relax,17134163.462506674,0.0,0.011609077453613281
"('Small', 'Medium', 'Medium')",16,Heur,17142979.948999725,0.05145559929052543,0.0002727508544921875
"('Small', 'Medium', 'Medium')",16,Naive,17247453.579359885,0.6611943273514043,0.0002162456512451172
"('Small', 'Medium', 'Medium')",17,Relax,20432630.497320667,0.0,0.012330055236816406
"('Small', 'Medium', 'Medium')",17,Heur,20441253.894577883,0.042204048364438744,0.0003268718719482422
"('Small', 'Medium', 'Medium')",17,Naive,20574448.05880003,0.6940739299228269,0.0001621246337890625
"('Small', 'Medium', 'Medium')",18,Relax,13140170.7505243,0.0,0.013795137405395508
"('Small', 'Medium', 'Medium')",18,Heur,13149646.101643225,0.07210980206286809,0.0004019737243652344
"('Small', 'Medium', 'Medium')",18,Naive,13243410.295952752,0.7856788727371271,0.0001442432403564453
"('Small', 'Medium', 'Medium')",19,Relax,16034209.259513156,0.0,0.01199483871459961
"('Small', 'Medium', 'Medium')",19,Heur,16040207.50475114,0.03740904924528774,0.0003409385681152344
"('Small', 'Medium', 'Medium')",19,Naive,16108095.989398975,0.46080682052955724,0.00029015541076660156
"('Small', 'Medium', 'Medium')",20,Relax,20877251.60942772,0.0,0.013911962509155273
"('Small', 'Medium', 'Medium')",20,Heur,20885136.311153755,0.03776695263122527,0.0004267692565917969
"('Small', 'Medium', 'Medium')",20,Naive,21024687.56875343,0.7062038724442519,0.00024890899658203125
"('Small', 'Medium', 'Medium')",21,Relax,17844067.616556615,0.0,0.011922836303710938
"('Small', 'Medium', 'Medium')",21,Heur,17849895.774500802,0.03266159975083185,0.0002741813659667969
"('Small', 'Medium', 'Medium')",21,Naive,17973330.957320187,0.724405127470127,0.00015807151794433594
"('Small', 'Medium', 'Medium')",22,Relax,17475395.85120959,0.0,0.011388778686523438
"('Small', 'Medium', 'Medium')",22,Heur,17482525.817301024,0.040800026231977406,0.0004401206970214844
"('Small', 'Medium', 'Medium')",22,Naive,17606783.404111855,0.7518430713726704,0.0001761913299560547
"('Small', 'Medium', 'Medium')",23,Relax,17605238.03113278,0.0,0.013364076614379883
"('Small', 'Medium', 'Medium')",23,Heur,17615640.21742051,0.05908574635194308,0.0002751350402832031
"('Small', 'Medium', 'Medium')",23,Naive,17732468.473317448,0.7226851574495957,0.0001571178436279297
"('Small', 'Medium', 'Medium')",24,Relax,16055524.495307898,0.0,0.009244918823242188
"('Small', 'Medium', 'Medium')",24,Heur,16060638.791798562,0.031853811391576003,0.0002570152282714844
"('Small', 'Medium', 'Medium')",24,Naive,16156738.530753478,0.6304000562246301,0.0001418590545654297
"('Small', 'Medium', 'Medium')",25,Relax,18813863.6550742,0.0,0.008147954940795898
"('Small', 'Medium', 'Medium')",25,Heur,18819639.58953229,0.030700416267396138,0.0002548694610595703
"('Small', 'Medium', 'Medium')",25,Naive,18932911.634257343,0.6327673112005,0.00015401840209960938
"('Small', 'Medium', 'Medium')",26,Relax,9613904.743025307,0.0,0.01071786880493164
"('Small', 'Medium', 'Medium')",26,Heur,9620770.622331664,0.07141613620977898,0.0003998279571533203
"('Small', 'Medium', 'Medium')",26,Naive,9671582.457837593,0.5999405689361569,0.0002810955047607422
"('Small', 'Medium', 'Medium')",27,Relax,17981970.09936822,0.0,0.010770797729492188
"('Small', 'Medium', 'Medium')",27,Heur,17985630.989999864,0.020358673779434993,0.00024199485778808594
"('Small', 'Medium', 'Medium')",27,Naive,18095523.120740015,0.631482650367583,0.00018095970153808594
"('Small', 'Medium', 'Medium')",28,Relax,20406119.28889995,0.0,0.007828950881958008
"('Small', 'Medium', 'Medium')",28,Heur,20413213.223644402,0.034763762006968124,0.00022912025451660156
"('Small', 'Medium', 'Medium')",28,Naive,20569125.07875051,0.7988083747958251,0.00013494491577148438
"('Small', 'Medium', 'Medium')",29,Relax,10706707.481292574,0.0,0.007612943649291992
"('Small', 'Medium', 'Medium')",29,Heur,10711368.59384594,0.04353450919911387,0.0001800060272216797
"('Small', 'Medium', 'Medium')",29,Naive,10776709.550946567,0.653815094661972,0.00011515617370605469
"('Small', 'Medium', 'Medium')",30,Relax,13411866.514638528,0.0,0.007276058197021484
"('Small', 'Medium', 'Medium')",30,Heur,13417297.387328392,0.040493041620538656,0.0002071857452392578
"('Small', 'Medium', 'Medium')",30,Naive,13501269.737330405,0.6665979160640817,0.0002079010009765625
"('Large', 'Medium', 'Medium')",1,Relax,13176631595.917202,0.0,5.749813079833984
"('Large', 'Medium', 'Medium')",1,Heur,13176703590.621449,0.0005463817040223593,0.19597697257995605
"('Large', 'Medium', 'Medium')",1,Naive,13275983577.978762,0.7540013647520055,0.028596878051757812
"('Large', 'Medium', 'Medium')",2,Relax,13780026210.380405,0.0,5.886542081832886
"('Large', 'Medium', 'Medium')",2,Heur,13780097324.448822,0.0005160662783284525,0.0811159610748291
"('Large', 'Medium', 'Medium')",2,Naive,13877040357.479176,0.7040200476954827,0.020248889923095703
"('Large', 'Medium', 'Medium')",3,Relax,12733260600.952654,0.0,6.161813974380493
"('Large', 'Medium', 'Medium')",3,Heur,12733327810.20767,0.0005278243893893019,0.07354283332824707
"('Large', 'Medium', 'Medium')",3,Naive,12829357221.131453,0.7546898095497165,0.02091503143310547
"('Large', 'Medium', 'Medium')",4,Relax,13474266528.265862,0.0,5.3177900314331055
"('Large', 'Medium', 'Medium')",4,Heur,13474335983.992924,0.0005154694462702178,0.08813595771789551
"('Large', 'Medium', 'Medium')",4,Naive,13573000509.318941,0.7327595965684573,0.022777795791625977
"('Large', 'Medium', 'Medium')",5,Relax,13216465313.067495,0.0,5.81452202796936
"('Large', 'Medium', 'Medium')",5,Heur,13216530669.296915,0.0004945061169652425,0.06473708152770996
"('Large', 'Medium', 'Medium')",5,Naive,13315260694.630125,0.7475174278628636,0.018091678619384766
"('Large', 'Medium', 'Medium')",6,Relax,13343249216.824188,0.0,7.150394916534424
"('Large', 'Medium', 'Medium')",6,Heur,13343321587.075972,0.0005423735299204412,0.0964198112487793
"('Large', 'Medium', 'Medium')",6,Naive,13443731645.425919,0.7530581717310235,0.029349088668823242
"('Large', 'Medium', 'Medium')",7,Relax,13417089321.744085,0.0,6.801405906677246
"('Large', 'Medium', 'Medium')",7,Heur,13417150603.634373,0.00045674504222077635,0.20677399635314941
"('Large', 'Medium', 'Medium')",7,Naive,13514181714.182758,0.7236472092447246,0.05437588691711426
"('Large', 'Medium', 'Medium')",8,Relax,13282312810.48203,0.0,5.878602027893066
"('Large', 'Medium', 'Medium')",8,Heur,13282385962.374208,0.0005507466449657198,0.07697105407714844
"('Large', 'Medium', 'Medium')",8,Naive,13379324703.143873,0.7303840381268786,0.01935410499572754
"('Large', 'Medium', 'Medium')",9,Relax,13246792488.767632,0.0,5.539389133453369
"('Large', 'Medium', 'Medium')",9,Heur,13246869267.736427,0.0005796042238970652,0.33644819259643555
"('Large', 'Medium', 'Medium')",9,Naive,13347311399.232456,0.7588169781481653,0.02614116668701172
"('Large', 'Medium', 'Medium')",10,Relax,12966348199.598436,0.0,4.020785093307495
"('Large', 'Medium', 'Medium')",10,Heur,12966417614.420652,0.0005353459674805254,0.09476900100708008
"('Large', 'Medium', 'Medium')",10,Naive,13063971849.977451,0.7529001140200626,0.027039051055908203
"('Large', 'Medium', 'Medium')",11,Relax,13252201729.475367,0.0,4.932569742202759
"('Large', 'Medium', 'Medium')",11,Heur,13252275032.813536,0.0005531408264489184,0.06788516044616699
"('Large', 'Medium', 'Medium')",11,Naive,13352823180.793959,0.7592810113567108,0.019245147705078125
"('Large', 'Medium', 'Medium')",12,Relax,13044808929.074108,0.0,3.6176130771636963
"('Large', 'Medium', 'Medium')",12,Heur,13044883615.253561,0.0005725356335916619,0.07140421867370605
"('Large', 'Medium', 'Medium')",12,Naive,13142795019.153957,0.7511500598637291,0.025831222534179688
"('Large', 'Medium', 'Medium')",13,Relax,13162938281.10623,0.0,3.707474946975708
"('Large', 'Medium', 'Medium')",13,Heur,13163012722.939367,0.0005655411546247562,0.11043882369995117
"('Large', 'Medium', 'Medium')",13,Naive,13265251715.501053,0.7772841611031586,0.02843499183654785
"('Large', 'Medium', 'Medium')",14,Relax,13368031514.729542,0.0,4.144399881362915
"('Large', 'Medium', 'Medium')",14,Heur,13368102695.684628,0.0005324714787463195,0.11489582061767578
"('Large', 'Medium', 'Medium')",14,Naive,13471571812.799757,0.7745366096431591,0.02844405174255371
"('Large', 'Medium', 'Medium')",15,Relax,13426763226.501972,0.0,5.3442909717559814
"('Large', 'Medium', 'Medium')",15,Heur,13426830766.46213,0.0005030248840918182,0.10346436500549316
"('Large', 'Medium', 'Medium')",15,Naive,13525313521.886126,0.733984011795435,0.03250527381896973
"('Large', 'Medium', 'Medium')",16,Relax,13836431148.649017,0.0,3.5455689430236816
"('Large', 'Medium', 'Medium')",16,Heur,13836505161.286568,0.0005349113276047384,0.07726812362670898
