Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Medium', 'Medium', 'Medium')",28,901498600.6041713,901525767.5610355,908886999.8811697,0.13426423072814941,0.002214193344116211,0.001104116439819336,0.003013532893565324,0.8195685797012665
"('Medium', 'Medium', 'Medium')",29,952666373.4588386,952694085.6144758,959939178.2173501,0.13585138320922852,0.0031249523162841797,0.00104522705078125,0.002908904566102185,0.7634157099621588
"('Medium', 'Medium', 'Medium')",30,968266195.9434184,968295603.6974868,975549563.8831326,0.13805389404296875,0.0022039413452148438,0.0011146068572998047,0.0030371559176163893,0.7522071895340446
"('Small', 'Medium', 'Medium')",1,18598203.6227706,18609129.89116427,18700350.70624546,0.005038738250732422,0.0,0.0,0.05874905241004979,0.5492309125479002
"('Small', 'Medium', 'Medium')",2,11344966.44211876,11353784.302031701,11471504.450209312,0.01399993896484375,0.0,0.0,0.07772486554217105,1.1153669668054125
"('Small', 'Medium', 'Medium')",3,22139673.18363606,22146519.439229485,22242350.647835642,0.004999876022338867,0.0,0.0,0.030923020121557277,0.46377136350626674
"('Small', 'Medium', 'Medium')",4,15722371.036050271,15728352.9164447,15818832.952551732,0.003998994827270508,0.0,0.0,0.03804693567346137,0.6135328843231109
"('Small', 'Medium', 'Medium')",5,17057896.992888078,17063058.0055123,17184945.386372436,0.0049991607666015625,0.0,0.0,0.030255855257975573,0.7448068981617595
"('Small', 'Medium', 'Medium')",6,20354582.298599653,20357371.44642673,20446057.084928393,0.0050008296966552734,0.00099945068359375,0.0,0.013702800608536897,0.4494063547304219
"('Small', 'Medium', 'Medium')",7,16290446.858278528,16295609.431895144,16396434.086486593,0.0045070648193359375,0.0,0.0,0.03169080419665036,0.6506097047559142
"('Small', 'Medium', 'Medium')",8,12002745.177846795,12011000.15300465,12160237.272875717,0.005037784576416016,0.0010056495666503906,0.0,0.06877572618213294,1.312133955152207
"('Small', 'Medium', 'Medium')",9,22371248.804614928,22377805.146874957,22532949.714985304,0.004025697708129883,0.0,0.0,0.029307001666695826,0.7228068123627455
"('Small', 'Medium', 'Medium')",10,17311899.917396713,17320101.442216504,17433998.398957003,0.005074501037597656,0.0,0.0,0.04737507066771806,0.7052864338569402
"('Small', 'Medium', 'Medium')",11,16494230.740725111,16501125.030741723,16612699.01463958,0.004045724868774414,0.0,0.0,0.04179819068245286,0.71824067321894
"('Small', 'Medium', 'Medium')",12,16546143.807871668,16556291.641356973,16686331.605592122,0.005036592483520508,0.0,0.0,0.06133050457640515,0.8472535918233808
"('Small', 'Medium', 'Medium')",13,14012528.595135313,14020789.757213853,14127868.144495375,0.0050580501556396484,0.0,0.001004934310913086,0.058955541267610864,0.8231173165998392
"('Small', 'Medium', 'Medium')",14,20876001.962882314,20879782.090268917,20989420.90769074,0.0040247440338134766,0.0,0.0,0.018107525537335162,0.5432982091594308
"('Small', 'Medium', 'Medium')",15,23942575.304766122,23947590.448106207,24054750.82325424,0.0050334930419921875,0.0,0.0010423660278320312,0.020946549300761157,0.4685190171075138
